Word,Time_s,Intensity_dB
your,0.752779,53.154894
your,0.765086,57.696765
your,0.777394,62.006203
your,0.789702,65.380577
your,0.802009,67.492633
your,0.814317,69.194833
your,0.826625,70.760454
your,0.838932,71.84184
your,0.85124,72.038897
your,0.863548,71.7598
your,0.875856,71.825254
your,0.888163,72.304746
your,0.900471,72.791035
your,0.912779,73.004096
your,0.925086,72.961928
your,0.937394,72.838732
your,0.949702,72.679676
your,0.962009,72.465166
your,0.974317,72.136772
your,0.986625,71.725367
your,0.998932,71.419672
your,1.01124,71.218387
your,1.023548,70.77763
your,1.035856,69.326644
your,1.048163,65.973181
your,1.060471,60.465741
your,1.072779,53.338752
your,1.085086,45.433524
your,1.097394,41.610775
good,1.109702,51.924295
good,1.122009,59.792773
good,1.134317,63.514306
good,1.146625,63.718796
good,1.158932,61.840687
good,1.17124,65.196992
good,1.183548,70.150244
good,1.195856,72.814081
good,1.208163,74.172297
good,1.220471,74.955007
good,1.232779,75.219812
good,1.245086,74.985674
good,1.257394,74.219196
good,1.269702,72.330085
good,1.282009,68.216308
good,1.294317,61.611821
good,1.306625,54.584062
good,1.318932,48.151938
good,1.33124,42.29457
good,1.343548,40.870869
good,1.355856,43.510061
good,1.368163,45.582626
good,1.380471,43.926995
good,1.392779,39.019922
good,1.405086,34.307344
good,1.417394,31.972783
good,1.429702,32.060468
good,1.442009,33.198805
pants,1.454317,34.379683
pants,1.466625,34.341003
pants,1.478932,36.881681
pants,1.49124,41.879358
pants,1.503548,48.790966
pants,1.515856,54.730401
pants,1.528163,57.252063
pants,1.540471,56.90876
pants,1.552779,58.935318
pants,1.565086,64.434234
pants,1.577394,68.769231
pants,1.589702,71.531338
pants,1.602009,73.123085
pants,1.614317,73.634423
pants,1.626625,73.214952
pants,1.638932,72.266934
pants,1.65124,70.991175
pants,1.663548,69.09772
pants,1.675856,67.033121
pants,1.688163,65.417847
pants,1.700471,62.59919
pants,1.712779,56.999284
pants,1.725086,50.699751
pants,1.737394,49.43034
pants,1.749702,49.901396
pants,1.762009,54.414727
pants,1.774317,59.642909
pants,1.786625,62.969545
pants,1.798932,64.120908
pants,1.81124,63.714479
pants,1.823548,62.935292
pants,1.835856,62.081951
pants,1.848163,60.144299
pants,1.860471,56.243485
look,1.872779,53.390516
look,1.885086,55.917776
look,1.897394,59.022114
look,1.909702,61.365416
look,1.922009,63.493895
look,1.934317,65.694038
look,1.946625,67.561163
look,1.958932,68.743159
look,1.97124,69.328176
look,1.983548,69.629319
look,1.995856,69.915382
look,2.008163,70.153563
look,2.020471,70.213466
look,2.032779,70.21133
look,2.045086,69.980275
look,2.057394,68.718021
look,2.069702,66.01697
look,2.082009,61.879444
look,2.094317,55.807611
look,2.106625,47.430206
look,2.118932,38.758375
look,2.13124,33.747615
look,2.143548,30.86043
look,2.155856,28.941451
great,2.168163,27.294622
great,2.180471,26.793027
great,2.192779,36.302236
great,2.205086,48.868144
great,2.217394,55.226827
great,2.229702,56.434694
great,2.242009,53.587179
great,2.254317,54.90894
great,2.266625,61.182632
great,2.278932,65.089551
great,2.29124,67.556506
great,2.303548,69.662742
great,2.315856,71.382239
great,2.328163,72.373603
great,2.340471,72.883724
great,2.352779,73.247936
great,2.365086,73.568652
great,2.377394,73.590038
great,2.389702,73.192734
great,2.402009,72.483204
great,2.414317,71.197753
great,2.426625,69.257852
great,2.438932,66.994044
great,2.45124,64.464054
great,2.463548,61.574871
great,2.475856,58.546278
great,2.488163,55.031268
great,2.500471,50.158628
great,2.512779,43.294089
great,2.525086,35.436329
great,2.537394,32.477185
great,2.549702,31.146633
great,2.562009,30.524592
great,2.574317,42.496249
great,2.586625,51.536112
great,2.598932,56.735481
great,2.61124,59.535513
great,2.623548,60.486166
great,2.635856,59.530696
great,2.648163,56.266321
great,2.660471,51.149156
great,2.672779,45.631878
great,2.685086,39.570827
great,2.697394,33.292699
great,2.709702,28.74835
great,2.722009,27.873691
great,2.734317,28.773874
great,2.746625,28.360312
